120 973
44 65 5
44 18 4
44 41 2
45 2 10
45 57 1
45 65 4
45 48 8
45 22 9
45 112 8
45 113 8
45 10 5
45 3 3
46 43 3
46 82 4
46 53 4
46 42 4
46 118 6
46 86 9
46 11 5
47 15 1
47 64 7
47 112 5
47 70 9
47 72 7
47 10 6
47 60 7
47 48 7
48 80 8
48 107 10
48 99 5
48 119 4
48 45 6
48 8 7
48 56 10
48 76 8
48 28 3
48 92 2
49 24 4
49 118 3
49 83 9
49 30 10
50 86 6
50 30 6
50 60 8
50 1 7
50 35 9
51 35 9
51 118 7
51 85 5
51 48 1
51 96 6
51 107 1
51 74 2
51 60 1
51 22 8
51 92 7
51 55 -7
52 3 5
52 71 10
52 19 5
52 105 1
52 23 7
52 86 5
52 109 9
52 14 8
52 59 3
52 9 8
52 62 3
53 25 3
53 118 3
53 106 3
53 24 6
54 35 3
54 104 2
54 58 3
54 68 2
54 84 3
54 120 9
55 74 6
55 113 3
55 105 4
55 37 7
55 85 5
55 107 9
55 63 9
55 53 5
56 92 7
56 63 5
56 16 8
56 57 7
56 50 6
56 1 2
56 64 10
57 78 2
57 66 8
57 26 4
57 49 8
57 102 8
57 17 9
57 46 10
57 64 9
57 36 2
58 120 8
58 26 10
58 16 4
58 52 4
58 40 5
58 77 2
58 49 9
59 45 2
59 107 5
59 4 10
59 74 9
59 39 10
59 69 1
59 41 2
59 63 5
59 99 10
59 61 -4
60 54 2
60 101 1
60 28 8
60 5 3
61 16 10
61 103 5
61 38 4
61 29 3
61 67 4
61 114 8
61 92 1
61 57 6
61 53 4
61 32 5
61 81 9
61 45 6
62 103 9
62 29 7
62 41 10
62 55 6
62 6 1
62 84 7
62 2 7
62 34 6
63 88 3
63 64 10
63 36 9
63 103 6
63 34 3
63 61 9
63 111 5
64 103 10
64 72 8
64 8 3
64 15 7
64 3 6
64 53 9
64 107 9
64 77 8
64 111 7
64 87 3
64 10 2
65 116 4
65 46 5
65 73 4
65 30 3
66 57 9
66 15 9
66 85 10
66 30 5
66 62 6
66 51 6
66 107 4
66 53 2
66 77 1
66 99 4
67 55 4
67 3 9
67 31 9
67 77 10
67 99 2
67 110 7
67 83 1
67 50 8
68 6 3
68 108 1
68 116 3
68 39 2
68 98 7
68 28 4
68 78 10
69 90 4
69 99 2
69 111 7
69 2 1
69 97 7
69 106 7
70 104 4
70 110 4
70 103 8
70 116 1
70 20 1
70 5 9
70 102 3
70 17 2
70 43 3
70 32 7
70 90 7
71 2 1
71 28 6
71 118 1
71 78 4
71 38 2
72 19 6
72 34 3
72 12 7
72 56 2
72 30 3
72 78 5
72 24 8
72 48 9
72 118 3
72 80 5
72 104 8
72 114 1
72 83 2
73 25 10
73 17 10
73 52 7
73 7 5
73 109 7
73 28 7
73 108 2
73 37 7
73 57 3
73 106 9
74 91 2
74 49 8
74 113 2
74 61 2
74 54 6
74 120 8
75 7 6
75 113 10
75 98 6
75 32 10
75 56 8
76 118 4
76 114 5
76 70 9
76 66 10
76 103 1
76 49 10
76 28 9
76 20 5
76 52 9
76 48 1
77 17 8
77 2 2
77 36 5
77 4 8
77 28 8
77 114 5
77 117 7
78 82 4
78 24 6
78 72 3
79 14 1
79 38 6
79 114 3
79 61 4
79 28 4
79 32 3
79 36 6
79 30 9
80 34 2
80 39 8
80 91 9
80 28 10
80 53 4
80 59 3
80 36 4
81 22 10
81 102 2
81 99 2
81 113 5
81 80 5
81 85 3
81 60 5
82 74 2
82 39 4
82 28 1
82 37 8
82 71 10
82 70 6
82 11 5
83 7 7
83 109 1
83 93 8
83 75 10
84 99 8
84 79 1
84 24 6
84 52 7
84 35 7
84 26 8
84 22 7
84 10 1
84 12 9
85 115 2
85 91 2
85 81 10
85 17 9
85 7 4
85 74 7
85 11 6
85 110 6
85 56 8
85 90 4
85 120 3
85 53 9
86 59 10
86 70 10
86 78 6
86 54 5
86 100 7
87 14 7
87 93 2
87 21 9
87 105 1
87 39 1
87 69 10
88 75 5
88 54 1
88 27 7
88 17 7
88 85 10
88 49 9
88 1 8
88 90 10
88 100 6
88 36 1
89 105 1
89 80 5
89 8 4
89 64 7
89 1 1
89 30 4
89 50 7
89 111 8
89 45 4
90 42 6
90 9 5
90 82 2
90 56 5
90 77 8
90 33 6
90 1 2
90 43 4
90 76 10
90 44 4
91 99 10
91 94 6
91 113 1
91 106 9
91 55 3
91 110 9
91 84 1
91 101 10
91 65 5
92 69 6
92 120 4
92 40 7
92 119 4
92 84 5
92 104 5
92 83 -3
93 77 6
93 78 7
93 103 6
93 35 6
93 30 9
93 5 8
93 51 3
93 114 9
93 23 8
93 83 1
93 94 10
94 116 10
94 19 10
94 120 7
94 112 9
94 66 1
94 14 4
94 11 6
94 43 8
94 114 4
94 105 10
94 95 10
94 45 9
94 76 3
94 21 10
94 72 1
95 107 7
95 73 2
95 7 7
95 39 3
95 43 3
95 101 2
95 119 8
95 19 3
95 62 5
95 77 5
95 60 9
96 1 2
96 88 5
96 60 7
96 31 4
96 26 3
96 116 2
96 103 7
96 22 10
96 8 10
96 99 7
96 59 7
97 40 4
97 24 3
97 35 5
97 46 7
97 9 6
97 15 3
97 38 3
97 68 2
98 94 8
98 71 2
98 24 6
98 86 2
98 70 10
98 78 4
98 113 3
98 74 -5
99 44 9
99 80 3
99 111 10
99 94 2
99 86 9
99 109 1
99 63 5
99 73 9
99 28 5
100 1 7
100 26 9
100 63 3
100 111 2
100 57 6
100 104 10
100 71 6
100 84 1
101 51 5
101 55 7
101 53 9
101 69 4
102 75 4
102 27 4
102 84 8
102 77 7
102 12 10
102 58 7
102 65 9
102 118 9
102 1 3
103 38 2
103 12 3
103 82 5
103 74 4
103 33 2
103 85 4
103 81 10
103 41 6
103 55 3
103 69 10
103 24 6
103 50 3
103 70 2
103 111 6
103 28 6
103 63 10
103 6 -3
104 92 10
104 10 9
104 105 3
104 75 2
104 28 3
104 74 2
104 78 5
104 100 8
105 37 6
105 112 4
105 66 3
105 96 7
105 54 5
105 113 1
105 23 5
105 57 9
105 50 6
106 32 6
106 72 1
106 78 2
106 11 5
106 12 7
106 3 1
106 67 9
106 88 7
106 54 9
106 111 10
106 1 1
107 46 1
107 72 2
107 18 2
107 119 8
107 25 6
107 51 8
107 111 8
107 65 5
107 85 5
107 103 2
107 69 5
107 55 9
107 86 1
108 28 7
108 42 3
108 44 8
108 102 8
108 91 5
108 87 9
108 112 1
108 52 8
108 70 9
109 77 8
109 67 2
109 14 9
109 39 9
109 52 6
110 68 4
110 69 10
110 6 3
110 42 8
110 33 2
110 95 2
110 14 1
111 21 8
111 42 7
111 81 7
111 98 3
111 119 8
111 62 6
111 63 7
111 99 4
112 50 10
112 113 9
112 43 3
112 90 2
112 94 -2
113 99 8
113 116 10
113 48 2
113 17 10
113 107 2
113 36 8
113 86 8
114 2 3
114 117 10
114 69 3
114 6 4
114 40 3
114 19 7
114 16 4
114 100 3
115 40 5
115 38 2
115 30 1
115 39 10
115 105 3
115 67 6
116 92 4
116 55 4
116 8 4
116 114 8
116 52 3
116 97 7
116 80 1
116 50 6
116 6 10
116 58 3
117 74 3
117 9 1
117 68 10
117 110 4
117 5 1
117 49 4
117 10 5
117 73 3
118 101 7
118 97 5
118 56 2
118 61 2
118 20 1
118 49 8
118 36 10
119 48 3
119 100 1
119 114 3
119 13 7
119 55 6
119 103 5
119 36 7
120 84 10
120 111 2
120 2 8
120 72 9
120 8 7
120 35 10
120 46 6
120 87 4
--------------
Level 1 Output:
Unable to solve problem. Graph has a negative cycle.
76 103 1
24 76 5
17 24 -7
42 17 -6
111 42 7
19 111 4
36 19 -7
88 36 1
6 88 3
103 6 -3
